resource-type,md-file
aws.access-analyzer-finding,aws.access-analyzer-finding.md
aws.account,aws.account.md
aws.acm-certificate,aws.acm-certificate.md
aws.advisor-check,aws.advisor-check.md
aws.airflow,aws.airflow.md
aws.alarm,aws.alarm.md
aws.ami,aws.ami.md
aws.apigw-domain-name,aws.apigw-domain-name.md
aws.apigwv2,aws.apigwv2.md
aws.apigwv2-stage,aws.apigwv2-stage.md
aws.app-elb,aws.app-elb.md
aws.app-elb-target-group,aws.app-elb-target-group.md
aws.app-flow,aws.app-flow.md
aws.appdiscovery-agent,aws.appdiscovery-agent.md
aws.appmesh-mesh,aws.appmesh-mesh.md
aws.appmesh-virtual-gateway,aws.appmesh-virtual-gateway.md
aws.appmesh-virtualgateway,aws.appmesh-virtualgateway.md
aws.appmesh-virtualnode,aws.appmesh-virtualnode.md
aws.appstream-fleet,aws.appstream-fleet.md
aws.appstream-stack,aws.appstream-stack.md
aws.artifact-domain,aws.artifact-domain.md
aws.artifact-repo,aws.artifact-repo.md
aws.asg,aws.asg.md
aws.athena-capacity-reservation,aws.athena-capacity-reservation.md
aws.athena-data-catalog,aws.athena-data-catalog.md
aws.athena-named-query,aws.athena-named-query.md
aws.athena-work-group,aws.athena-work-group.md
aws.backup-plan,aws.backup-plan.md
aws.backup-vault,aws.backup-vault.md
aws.batch-compute,aws.batch-compute.md
aws.batch-definition,aws.batch-definition.md
aws.batch-queue,aws.batch-queue.md
aws.bedrock-agent,aws.bedrock-agent.md
aws.bedrock-custom-model,aws.bedrock-custom-model.md
aws.bedrock-customization-job,aws.bedrock-customization-job.md
aws.bedrock-knowledge-base,aws.bedrock-knowledge-base.md
aws.budget,aws.budget.md
aws.cache-cluster,aws.cache-cluster.md
aws.cache-snapshot,aws.cache-snapshot.md
aws.cache-subnet-group,aws.cache-subnet-group.md
aws.catalog-portfolio,aws.catalog-portfolio.md
aws.catalog-product,aws.catalog-product.md
aws.cfn,aws.cfn.md
aws.cloud-directory,aws.cloud-directory.md
aws.cloudhsm-backup,aws.cloudhsm-backup.md
aws.cloudhsm-cluster,aws.cloudhsm-cluster.md
aws.cloudsearch,aws.cloudsearch.md
aws.cloudtrail,aws.cloudtrail.md
aws.cloudwatch-dashboard,aws.cloudwatch-dashboard.md
aws.codebuild,aws.codebuild.md
aws.codebuild-credential,aws.codebuild-credential.md
aws.codecommit,aws.codecommit.md
